INFO:root:Dataset: 4267 nodes, 2135822 edges
INFO:root:Train edges: 1067911
INFO:root:Valid edges: 133489 pos, 101882 neg
INFO:root:Test edges: 133489 pos, 95599 neg
INFO:root:Loading external features...
INFO:src.data.external_features:Loading cached Morgan features from data/morgan_features.pt
INFO:src.data.external_features:  Morgan fingerprints: 2048 dims
INFO:src.data.external_features:Loaded PubChem features: shape=(4267, 9)
INFO:src.data.external_features:  PubChem properties: 9 dims
INFO:src.data.external_features:Loaded ChemBERTa features: shape=torch.Size([4267, 768])
INFO:src.data.external_features:  ChemBERTa embeddings: 768 dims
INFO:src.data.external_features:Loaded drug-target features: shape=torch.Size([4267, 229])
INFO:src.data.external_features:  Drug-target features: 229 dims
INFO:src.data.external_features:Combined features: 3054 dims total
INFO:root:Loaded features: {'morgan': 2048, 'pubchem': 9, 'chemberta': 768, 'drug_targets': 229}
INFO:root:Total feature dimension: 3054
INFO:root:================================================================================
INFO:root:Model Configuration:
INFO:root:  architecture: GCN + MLP
INFO:root:  num_layers: 2
INFO:root:  hidden_channels: 256
INFO:root:  dropout: 0.5
INFO:root:  fusion: concat
INFO:root:  external_features: ['morgan', 'pubchem', 'chemberta', 'drug_targets']
INFO:root:Training Configuration:
INFO:root:  epochs: 2000
INFO:root:  lr: 0.005
INFO:root:  batch_size: 65536
INFO:root:  eval_steps: 5
INFO:root:  runs: 1
INFO:root:================================================================================
INFO:root:[GCN] Epoch 0005 | loss 0.8540 | val@20 0.0629 | test@20 0.0674 | best 0.0629 (ep 5)
INFO:root:[GCN] Epoch 0010 | loss 0.6627 | val@20 0.1465 | test@20 0.1411 | best 0.1465 (ep 10)
INFO:root:[GCN] Epoch 0015 | loss 0.5632 | val@20 0.2132 | test@20 0.1908 | best 0.2132 (ep 15)
INFO:root:[GCN] Epoch 0020 | loss 0.5403 | val@20 0.1723 | test@20 0.1566 | best 0.2132 (ep 15)
INFO:root:[GCN] Epoch 0025 | loss 0.4865 | val@20 0.1522 | test@20 0.0452 | best 0.2132 (ep 15)
INFO:root:[GCN] Epoch 0030 | loss 0.4509 | val@20 0.2768 | test@20 0.1497 | best 0.2768 (ep 30)
INFO:root:[GCN] Epoch 0035 | loss 0.4173 | val@20 0.2519 | test@20 0.1807 | best 0.2768 (ep 30)
INFO:root:[GCN] Epoch 0040 | loss 0.4096 | val@20 0.3363 | test@20 0.2131 | best 0.3363 (ep 40)
INFO:root:[GCN] Epoch 0045 | loss 0.3658 | val@20 0.2191 | test@20 0.1710 | best 0.3363 (ep 40)
INFO:root:[GCN] Epoch 0050 | loss 0.3427 | val@20 0.2536 | test@20 0.2573 | best 0.3363 (ep 40)
INFO:root:[GCN] Epoch 0055 | loss 0.3188 | val@20 0.2440 | test@20 0.2237 | best 0.3363 (ep 40)
INFO:root:[GCN] Epoch 0060 | loss 0.3092 | val@20 0.1847 | test@20 0.1113 | best 0.3363 (ep 40)
INFO:root:[GCN] Epoch 0065 | loss 0.2929 | val@20 0.4576 | test@20 0.2732 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0070 | loss 0.2804 | val@20 0.3045 | test@20 0.1779 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0075 | loss 0.2750 | val@20 0.4372 | test@20 0.2942 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0080 | loss 0.2652 | val@20 0.3310 | test@20 0.1276 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0085 | loss 0.2531 | val@20 0.3190 | test@20 0.2246 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0090 | loss 0.2506 | val@20 0.4406 | test@20 0.3451 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0095 | loss 0.2414 | val@20 0.2981 | test@20 0.2493 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0100 | loss 0.2394 | val@20 0.2329 | test@20 0.1250 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0105 | loss 0.2372 | val@20 0.2421 | test@20 0.2776 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0110 | loss 0.2362 | val@20 0.2819 | test@20 0.1678 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0115 | loss 0.2282 | val@20 0.2488 | test@20 0.2226 | best 0.4576 (ep 65)
INFO:root:[GCN] Epoch 0120 | loss 0.2232 | val@20 0.4717 | test@20 0.4823 | best 0.4717 (ep 120)
INFO:root:[GCN] Epoch 0125 | loss 0.2217 | val@20 0.3115 | test@20 0.2657 | best 0.4717 (ep 120)
INFO:root:[GCN] Epoch 0130 | loss 0.2168 | val@20 0.4834 | test@20 0.5110 | best 0.4834 (ep 130)
