2025-12-10 22:37:03,669 - [A_l2_h256_do0.25_lr0.005_bs64k] Starting (GCN) | layers=2, hidden=256, dropout=0.25, lr=0.005, batch=65536, epochs=800, runs=1
2025-12-10 22:37:11,829 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0005 | loss 0.6586 | val@20 0.1213 | test@20 0.1196 | best 0.1213 (ep 5) | lr 0.005000
2025-12-10 22:37:19,492 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0010 | loss 0.5029 | val@20 0.1435 | test@20 0.1093 | best 0.1435 (ep 10) | lr 0.005000
2025-12-10 22:37:27,172 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0015 | loss 0.4104 | val@20 0.2581 | test@20 0.2227 | best 0.2581 (ep 15) | lr 0.005000
2025-12-10 22:37:34,924 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0020 | loss 0.3717 | val@20 0.2478 | test@20 0.1558 | best 0.2581 (ep 15) | lr 0.005000
2025-12-10 22:37:42,632 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0025 | loss 0.3782 | val@20 0.1598 | test@20 0.0803 | best 0.2581 (ep 15) | lr 0.005000
2025-12-10 22:37:50,377 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0030 | loss 0.3471 | val@20 0.1811 | test@20 0.2040 | best 0.2581 (ep 15) | lr 0.005000
2025-12-10 22:37:58,085 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0035 | loss 0.3296 | val@20 0.2338 | test@20 0.1712 | best 0.2581 (ep 15) | lr 0.005000
2025-12-10 22:38:05,771 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0040 | loss 0.3183 | val@20 0.2688 | test@20 0.1535 | best 0.2688 (ep 40) | lr 0.005000
2025-12-10 22:38:13,502 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0045 | loss 0.3057 | val@20 0.3185 | test@20 0.2094 | best 0.3185 (ep 45) | lr 0.005000
2025-12-10 22:38:21,133 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0050 | loss 0.2945 | val@20 0.2721 | test@20 0.1758 | best 0.3185 (ep 45) | lr 0.005000
2025-12-10 22:38:28,708 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0055 | loss 0.2837 | val@20 0.2737 | test@20 0.2151 | best 0.3185 (ep 45) | lr 0.005000
2025-12-10 22:38:36,313 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0060 | loss 0.2756 | val@20 0.2261 | test@20 0.1789 | best 0.3185 (ep 45) | lr 0.005000
2025-12-10 22:38:43,902 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0065 | loss 0.2645 | val@20 0.3578 | test@20 0.2806 | best 0.3578 (ep 65) | lr 0.005000
2025-12-10 22:38:51,465 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0070 | loss 0.2565 | val@20 0.3373 | test@20 0.2167 | best 0.3578 (ep 65) | lr 0.005000
2025-12-10 22:38:59,093 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0075 | loss 0.2515 | val@20 0.3440 | test@20 0.2537 | best 0.3578 (ep 65) | lr 0.005000
2025-12-10 22:39:06,758 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0080 | loss 0.2429 | val@20 0.2548 | test@20 0.1844 | best 0.3578 (ep 65) | lr 0.005000
2025-12-10 22:39:14,403 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0085 | loss 0.2376 | val@20 0.3696 | test@20 0.2689 | best 0.3696 (ep 85) | lr 0.005000
2025-12-10 22:39:22,023 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0090 | loss 0.2317 | val@20 0.4028 | test@20 0.2149 | best 0.4028 (ep 90) | lr 0.005000
2025-12-10 22:39:29,677 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0095 | loss 0.2281 | val@20 0.4616 | test@20 0.3685 | best 0.4616 (ep 95) | lr 0.005000
2025-12-10 22:39:37,355 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0100 | loss 0.2272 | val@20 0.3421 | test@20 0.2849 | best 0.4616 (ep 95) | lr 0.005000
